id;name;category;brand;saleFormat;installmentsNoInterest;flashOffer;price;oldPrice;offPct;freeShip;image;featured;description;stock;location;barcode;unit;cdsetor;cdsetdep
03.0020;"GRELHA INOX 15 X 15 QUADRADA";"ACO INOXIDAVEL";"";"UN";false;false;24.39;;;false;"/assets/no-image.jpg";false;"Produto sem descrição.";38;"";"7898575900312";"UN";;
03.0022;"PORTA TOALHA 2040 F24 QUADRA BR LORENZETTI";"METAIS E TORN LORENZETT";"";"UN";false;true;35.00;36.79;5;false;"/assets/no-image.jpg";false;"Produto sem descrição.";4;"";"133";"UN";;
03.0025;"SABONET 15 X 7,5 OVAL S/PORTA 215RSL MOLDENOX";"ACO INOXIDAVEL";"";"UN";false;true;102.98;129.56;21;false;"/assets/no-image.jpg";false;"Produto sem descrição.";0;"";"1332";"UN";;
03.0028;"GAVETEIRO INOX P CHURRASQUEIRA";"ARTEFATOS ACO INOX";"";"UN";false;false;40.00;;;false;"/assets/no-image.jpg";false;"Produto sem descrição.";0;"";"1335";"UN";;
03.0031;"PORTA PAPEL 2020 F24 QUADRA BR LORENZETT";"METAIS E TORN LORENZETT";"";"UN";false;true;25.15;26.82;6;false;"/assets/no-image.jpg";false;"Produto sem descrição.";0;"";"1340";"UN";;
03.0032;"SABONET 2009 F24 QUADRA BR LORENZETT";"METAIS E TORN LORENZETT";"";"UN";false;false;24.99;;;false;"/assets/no-image.jpg";false;"Produto sem descrição.";0;"";"1341";"UN";;
803203;"AMPLIACAO (AQUECEDOR) 90 X 100";"ACESSORIOS DE AQUECEDOR";"";"UN";false;false;19.48;;;false;"/assets/produtos/803203.jpg";false;"Produto sem descrição.";2;"";"7898478271809";"UN";;
03.0033;"PORTA PAPEL TOALHA  14 AV MOLDENOX";"ACO INOXIDAVEL";"";"UN";false;true;39.00;171.41;77;false;"/assets/no-image.jpg";false;"Produto sem descrição.";4;"";"1346";"UN";;
03.0034;"KIT BANHEIRO ABS VENEZA BRANCO";"METAIS DIVERSOS 1";"";"UN";false;false;14.90;;;false;"/assets/no-image.jpg";false;"Produto sem descrição.";3;"";"7898477895570";"UN";;
03.0035;"KIT BANHEIRO BRASIL CRISTAL C/ 5 PECAS";"ACO INOXIDAVEL";"";"UN";false;true;36.73;43.03;15;false;"/assets/no-image.jpg";false;"Produto sem descrição.";0;"";"1.3.48";"UN";;
03.0036;"KIT LAVANDERIA AM�LIA C/TANQ DUPLO  PT";"ARMARIOS";"";"UN";false;false;699.00;;;false;"/assets/no-image.jpg";false;"Produto sem descrição.";2;"";"1.3.49";"UN";;
03.0037;"KIT LAVANDERIA AM�LIA C/TANQ GELO";"ARMARIOS";"";"UN";false;false;499.00;;;false;"/assets/no-image.jpg";false;"Produto sem descrição.";1;"";"1.3.50";"UN";;
03.0038;"KIT BANHEIRO BCO C/4 VIQUA";"ACO INOXIDAVEL";"";"UN";false;false;30.29;;;false;"/assets/no-image.jpg";false;"Produto sem descrição.";0;"";"1353";"UN";;
03.0039;"KIT BANHEIRO STANDER 5P�S COBRA METAIS 10600";"ACO INOXIDAVEL";"";"UN";false;false;69.19;;;false;"/assets/no-image.jpg";false;"Produto sem descrição.";0;"";"1.3.54";"UN";;
03.0040;"KIT 5 P�S SAMBA JAPI";"METAIS DIVERSOS 1";"";"UN";false;false;34.50;;;false;"/assets/no-image.jpg";false;"Produto sem descrição.";17;"";"7896451865205";"UN";;
03.0041;"KIT BANHEIRO VIDRO VERDE";"ACO INOXIDAVEL";"";"UN";false;false;119.90;;;false;"/assets/no-image.jpg";false;"Produto sem descrição.";1;"";"1.3.57";"UN";;
03.0042;"KIT BANHEIRO VIDRO TRANSPARENTE";"ACO INOXIDAVEL";"";"UN";false;false;119.90;;;false;"/assets/no-image.jpg";false;"Produto sem descrição.";0;"";"1.3.58";"UN";;
03.0046;"GRELHA FF S/CAXILHO 1 X 25 CM LEVE";"FERRO FUNDIDO";"";"UN";false;false;190.40;;;false;"/assets/no-image.jpg";false;"Produto sem descrição.";0;"";"00075541";"UN";;
03.0047;"PORTA TOALHA ARGOLA 2049 F24 QUAD BR LORENZETTI";"MATERIAIS PLASTICOS";"";"UN";false;false;19.65;;;false;"/assets/no-image.jpg";false;"Produto sem descrição.";9;"";"1363";"UN";;
03.0048;"GRELHA FERRO 10 X 10 RED";"FERRO FUNDIDO";"";"UN";false;false;6.32;;;false;"/assets/no-image.jpg";false;"Produto sem descrição.";0;"";"1364";"UN";;
03.0050;"TRINCO FIO RED 10 CM LOTH";"FECHADURAS/CADEADOS";"";"UN";false;false;6.50;;;false;"/assets/no-image.jpg";false;"Produto sem descrição.";-24;"";"1366";"UN";;
03.0051;"GRELHA FERRO 15 X 15 SEXT";"FERRO FUNDIDO";"";"UN";false;false;8.43;;;false;"/assets/no-image.jpg";false;"Produto sem descrição.";0;"";"1367";"UN";;
03.0052;"ARGILA EXPANDIDA 3222";"CIMENTO E AGREGADOS";"";"UN";false;false;59.00;;;false;"/assets/no-image.jpg";false;"Produto sem descrição.";718;"";"137";"UN";;
03.0053;"PORTA TOALHA ARGOLA 2049 F24 QUAD PT FOSCO LORENZETTI";"MATERIAIS PLASTICOS";"";"UN";false;true;24.50;26.52;8;false;"/assets/no-image.jpg";false;"Produto sem descrição.";10;"";"1370";"UN";;
03.0054;"SABONETEIRA C/VENTOSA CRISTAL (AV/SAB";"MATERIAIS PLASTICOS";"";"UN";false;true;16.87;20.44;17;false;"/assets/no-image.jpg";false;"Produto sem descrição.";1;"";"7891222173428";"UN";;
03.0059;"PORTA SABONETE LIQUIDO CR JAPI";"MATERIAIS PLASTICOS";"";"UN";false;true;79.63;102.36;22;false;"/assets/no-image.jpg";false;"Produto sem descrição.";16;"";"7894023053692";"UN";;
803204;"ARO C/ ABRACAD AQUECEDOR 126 MM";"ACESSORIOS DE AQUECEDOR";"";"UN";false;false;59.79;;;false;"/assets/produtos/803204.png";false;"Produto sem descrição.";-1;"";"7896500801017";"UN";;
03.0062;"CABIDE SIMPLES 08 MOLDENOX";"ACO INOXIDAVEL";"";"UN";false;true;10.67;13.04;18;false;"/assets/no-image.jpg";false;"Produto sem descrição.";10;"";"7899006736715";"UN";;
03.0063;"BATENTE PORTA MUNDIAL ACETINADO";"ACO INOXIDAVEL";"";"UN";false;true;47.96;61.66;22;false;"/assets/no-image.jpg";false;"Produto sem descrição.";0;"";"1380";"UN";;
03.0064;"CABIDE SIMPLES 08 CRISTAL MOLDENOX";"ACO INOXIDAVEL";"";"UN";false;true;14.25;18.51;23;false;"/assets/no-image.jpg";false;"Produto sem descrição.";-2;"";"7899006736715";"UN";;
03.0065;"PORTA PAPEL 2020 F24 QUADRA PT FOSCO LORENZETT";"MATERIAIS PLASTICOS";"";"UN";false;true;29.99;37.00;19;false;"/assets/no-image.jpg";false;"Produto sem descrição.";2;"";"1.3.82";"UN";;
03.0066;"CABIDE 2060 F24 QUADRA PT FOSCO";"MATERIAIS PLASTICOS";"";"UN";false;false;12.97;;;false;"/assets/no-image.jpg";false;"Produto sem descrição.";10;"";"1.3.83";"UN";;
03.0068;"SABONET PVC ASTRA (SS2 BR1)";"MATERIAIS PLASTICOS";"";"UN";false;false;14.54;;;false;"/assets/no-image.jpg";false;"Produto sem descrição.";34;"";"7891222011904";"UN";;
03.0069;"GRELHA P/ CHURRASCO DUPLA";"JARDINAGEM";"";"UN";false;true;22.00;26.00;15;false;"/assets/no-image.jpg";false;"Produto sem descrição.";0;"";"1386";"UN";;
03.0070;"GRELHA ARGENTINA 40 CM";"ARTEFATOS ACO INOX";"";"UN";false;false;209.00;;;false;"/assets/no-image.jpg";false;"Produto sem descrição.";5;"";"1387";"UN";;
03.0073;"CABIDE 2060 F24 QUADRA BR LORENZETT";"MATERIAIS PLASTICOS";"";"UN";false;false;10.72;;;false;"/assets/no-image.jpg";false;"Produto sem descrição.";0;"";"139";"UN";;
03.0074;"GRELHA REDONDA CROMADA 100mm  TIGRE";"ARTEFATOS ACO INOX";"";"UN";false;false;42.50;;;false;"/assets/no-image.jpg";false;"Produto sem descrição.";1;"";"1390";"UN";;
03.0075;"KIT BANHEIRO INOX VEGAS VG001 C/ 5 PCS";"ACO INOXIDAVEL";"";"UN";false;false;79.90;;;false;"/assets/no-image.jpg";false;"Produto sem descrição.";1;"";"7898575900664";"UN";;
03.0362;"JUNCAO SEXT 1/4X 25 MM";"CONDULETE ALUMINIO";"";"UN";false;true;1.54;1.72;10;false;"/assets/no-image.jpg";false;"Produto sem descrição.";50;"";"1338";"UN";;
03.0364;"SABONET 15 X 30 EMB C/ PORTA DETERGENTE";"ACO INOXIDAVEL";"";"UN";false;true;59.00;90.00;34;false;"/assets/no-image.jpg";false;"Produto sem descrição.";1;"";"1342";"UN";;
